question,keywords,answer
How is the academic session structured at the University of Ibadan?,ui academic session; session; academic session,"The University of Ibadan operates on a two-semester academic session. | Each semester consists of teaching, revision, examinations, and result processing."
What is the academic calendar for the first semester at UI?,first semester; academic calendar; first semester academic calendar,"Online Registration (New Students): Begins Monday, 10th February 2025 | Virtual Orientation: Wednesday, 12th February 2025 | Virtual Lectures: 17th February – 28th March 2025 (6 weeks) | Post-Virtual Lectures Break: 31st March – 11th April 2025 | Physical Resumption (New Students): 14th April 2025 | Forest Resources Management and Wildlife | Matriculation Ceremony: 16th April 2025 | Teaching & Continuous Assessment: 22nd April – 4th July 2025 (11 weeks) | GES Exams: 7th July – 11th July 2025 | Faculty Exams: (Different schedules for faculties from 14th July – 8th August 2025)"
What is the second semester academic calendar for University of Ibadan,second semester; academic calendar; second semester academic calendar,Teaching & Continuous Assessment: 25th August – 7th November 2025 (11 weeks) | First Semester Results Processing: 15th September – 26th September 2025 | Faculty Exams: (Different schedules for faculties from 17th November – 12th December 2025) | Processing of Second Semester Results: 15th December 2025 – 2nd January 2026 | Final Senate Consideration: 26th January – 28th January 2026 | New Session Resumption: 16th February 2026
When do exams take place at the University of Ibadan?,exam time; exam period; examination period; exams date; examination date; exam schedule; examination schedule,First Semester GES Exams: 7th – 11th July 2025 | First Semester Faculty Exams: 14th July – 8th August 2025 | Agronomy | Second Semester GES Exams: 10th – 14th November 2025 | Second Semester Faculty Exams: 17th November – 12th December 2025
When is the matriculation ceremony at UI?,matriculation ceremony; matric day; matriculation daynew students,"The matriculation ceremony for freshers is scheduled for Wednesday, 16th April 2025."
When does the new academic session begin at University of Ibadan,resumption; new session; start date,"The 2025/2026 academic session begins on Monday, 16th February 2026."
Faculty of Agriculture and Forestry at the University of Ibadan,faculties; faculty of agriculture; forestry; agriculture and forestry; agroforestry; sustainable agriculture; agriculture courses,Agricultural Economics | Agricultural Extension Services & Rural Development | Agronomy | Animal Science and Crop Protection | Aquaculture and Fisheries Management | Forest Resources Management and Wildlife | Renewable Natural Resources | Wildlife and Ecotourism Management
Faculty of Arts at the University of Ibadan,arts department; faculties; faculty of arts; theatre arts,Adult Education | Classical Studies | Communication and Language Arts | Communication and Language Arts Education | Early Childhood Education | Education and Geography | Education and History | Education and Islamic Studies | Education and Political Science | Education and Religious Studies | Geography | Guidance and Counselling | History | International Relations | Islamic Studies | Law | Library and Information Science | Music | Philosophy | Political Science | Psychology | Religious Studies | Special Education | Theatre Arts | European Studies | Literature | Translation and Interpretation
Faculty of Education at the University of Ibadan,faculty of education; faculties; education department; adult education; ui teacher education; ui special education,Adult Education | Educational Management | Guidance and Counselling | Human Kinetics and Health Education | Library and Information Science | Science Education | Social Studies Education | Teacher Education (Arts) | Teacher Education (Science) | Vocational and Technical Education
College of Medicine at the University of Ibadan,college; medical school; mbbs programCollege of medicine; nursing science,Anatomy | Anesthesia | Biochemistry | Chemical Pathology | Community Medicine | Dentistry | Forensic Medicine | Human Nutrition | Medicine and Surgery | Microbiology | Obstetrics and Gynaecology | Ophthalmology | Oral Pathology | Orthopedics and Traumatology | Paediatrics | Pharmacology | Physiology | Physiotherapy | Psychiatry | Radiology | Surgery
Faculty of Pharmacy at the University of Ibadan,faculty of pharmacy; faculties; pharmacy department; clinical pharmacy; pharmacy administration; pharmaceutical chemistry; pharmaceutics and industrial pharmacy,Clinical Pharmacy and Pharmacy Administration | Pharmaceutical Chemistry | Pharmaceutics and Industrial Pharmacy | Pharmaceutical Microbiology | Pharmacognosy | Pharmacology and Toxicology
Faculty of Science at the University of Ibadan,faculty of science; university of ibadan science; faculties; science department; animal science; botany; microbiology; computer science,Archaeology and Anthropology | Biochemistry | Botany | Chemistry | Computer Science | Geography | Geology | Mathematics | Microbiology | Physics | Statistics | Zoology
Faculty of Social Sciences at the University of Ibadan,faculty of social sciences; university of ibadan social sciencessocial science; faculties; social sciences department; demography and social statistics; sociology department,Economics | Geography | Political Science | Psychology | Sociology
Faculty of Veterinary Medicine at the University of Ibadan,faculty of veterinary medicineuniversity of ibadan veterinary medicine; veterinary deparment; faculties; veterinary sciences; vet med,Veterinary Medicine
Faculty of Law at the University of Ibadan,faculty of law; law department; university of ibadan law; faculties; jurisprudence; laws and administrative Law; laws and criminal Law; laws and property law; laws and torts,Law
Faculty of Technology at the University of Ibadan,faculty of technologytechnology department; faculties; university of ibadan technology; engineering department; chemical engineering; civil engineering; computer engineering,Agricultural and Environmental Engineering | Civil Engineering | Electrical and Electronics Engineering | Food Technology | Industrial and Production Engineering | Mechanical Engineering | Petroleum Engineering | Wood Products Engineering
Faculty of Environmental Design and Management at the University of Ibadan,faculty of environmental design; university of ibadan environmental design; faculties; environmental management; environmental design and management department; quantity surveying,Architecture | Estate Management | Urban and Regional Planning | Quantity Surveying
Faculty of Economics and Management Sciences at the University of Ibadan,faculties; faculty of economics and management sciences; university of ibadan economics and management sciences; economics and management sciences deparment; economics and management sciences; entrepreneurship studies; business administration,Agricultural Economics | Economics | Sociology
Faculty of Engineering at the University of Ibadan,faculty of engineering; university of ibadan engineering; engineering department; faculty,Agricultural Engineering | Civil Engineering | Electrical and Electronic Engineering | Environmental Engineering | Industrial Engineering | Mechanical Engineering | Petroleum and Gas Engineering
Faculty of Language & Cultural Studies at the University of Ibadan,faculty of languages; faculty of artsuniversity of ibadan languages; languages department; linguistics department; cultural; communication and language artsfaculties,African Languages | Arabic | Classical Languages | English | French | Linguistics
Faculty of Medicine & Health at the University of Ibadan,faculty of medicine and healthcollege of medicine; faculty of basic medical sciences; faculty of clinical scienceshealth science; nursing science; faculties,Anaesthesiology | Dentistry | Gynaecology and Obstetrics | Nursing | Paediatrics | Physical Therapy | Psychiatry and Mental Health | Psychology | Public Health | Surgery
Faculty of Science & Technology at the University of Ibadan,faculty of science and technologyfaculty of science; science and technology department; faculties,Agronomy | Animal Husbandry | Anthropology | Aquaculture | Archaeology | Botany | Chemistry | Computer Science | Crop Production | Fishery | Forestry | Geology | Mathematics | Microbiology | Occupational Therapy | Ophthalmology | Otorhinolaryngology | Pharmacy | Physics | Radiology | Rural Planning | Statistics | Town Planning | Veterinary Science | Zoology
Diploma Courses in University of Ibadan,Diploma Courses; UI Diploma Programs; University of Ibadan Diploma; Diploma Course Details; Diploma Education UI; Diploma Program Offerings,Diploma in School Media (DSM) | Wildlife Management | Fisheries Management | Agriculture | Animal Health | Hotel and Catering Management | Hospitality Management
Undergraduate Admission Requirements in University of Ibadan,Undergraduate Admission Requirements; UI Admission Criteria; University of Ibadan Entry Requirements; UI Undergraduate Eligibility; Admission Guidelines UI; University of Ibadan Admissions; admission requirements; admission requirements for undergraduates; undergraduates admission requirements,"JAMB Cut-off Marks: The general JAMB cut-off mark for the University of Ibadan is 200 and above for all courses. | O-Level Requirements: Candidates must have at least five (5) O-level credits in relevant subjects, including English and Mathematics. For some faculties like Medicine and Pharmacy, credits must be obtained in one sitting. | Post-UTME: Candidates must participate in the UI Post-UTME screening and perform well to be considered for admission. | Subject Combinations: Candidates must select the recommended subject combinations for their courses during JAMB registration."
Direct Entry Admission Requirements at University of Ibadan,entry level requirements; Direct Entry Admission Requirements; Direct Entry Criteria; Direct Entry Eligibility; Direct Admission Guidelines; Direct Entry Qualifications; Direct Entry Requirements; Direct University Admission,"Candidates must have at least five (5) O-level credits, including English and Mathematics, and hold a relevant qualification such as: | - A-level passes | - OND (Upper Credit) | - HND (Upper Credit) | - NCE (Two passes in relevant subjects) | - Degree from a recognized institution. | Direct Entry candidates must upload their credentials to the UI portal."
Postgraduate Admission Requirements at University of Ibadan,Postgraduate Admission Requirements; Postgraduate Admission Criteria; Postgraduate Entry Requirements; Graduate Admission Requirements; Postgraduate Eligibility; University Postgraduate Admission; UI Postgraduate Admission,"Basic Qualification: A first degree from the University of Ibadan or other recognized institutions is required. | Degree Classification: A bachelor’s degree with at least Second Class Upper Division is typically required for Master’s programs. | English Proficiency: Proficiency in English is required, and foreign applicants may need to take a proficiency test. | Recommendation: Admission is based on academic merit and recommendations from the Faculty Postgraduate Committee. | Types of Admission: Full-time and part-time options are available, with specific conditions for each."
Undergraduate program course duration at the University of Ibadan,Undergraduate program course duration; Undergraduate course length; UI course duration; University of Ibadan program duration; UI undergraduate length; University undergraduate duration; Course duration at UI,"General- 3 to 6 years, depending on the faculty and course. | Medicine and Surgery: 6 years | Dentistry: 5 years | Law: 5 years | Engineering: 5 years | Science, Social Sciences, Arts, Education: 4 years"
Postgraduate Programs course duration at the University of Ibadan,Postgraduate Programs course duration; Postgraduate course length UI; University of Ibadan postgraduate duration; Graduate program duration; UI postgraduate course length; Course duration for postgraduate programs; postgraduate duration at ui,"Master's Degree: 2 years full-time, 3 years part-time | M.Phil.: 2 years full-time | Ph.D.: 3 years full-time, 5 years part-time | PGD: 1 year full-time"
Diploma program course duration at Univesity of Ibadan,Diploma program course duration; Diploma course length; Diploma program duration; UI diploma course duration; University diploma duration; Diploma duration; Course length for diploma programs; course duration,Diploma Programs: 1 to 2 years
Research Centers and Institutes at University of Ibadan,Research Centers and Institutes; University of Ibadan research centers; UI research institutes; UI research; Academic research centers UI; UI institutes; University research centers,"Institute for Advanced Medical Research and Training (IAMRAT): Focuses on multidisciplinary medical research, including infectious diseases and genetics. Units include Ethics Committee, Drug and Cancer Research, Environmental Sciences & Toxicology, Genetics & Cancer, etc. | Institute of Child Health: Conducts research related to child health and development. | Institute of Cardiovascular Diseases: Focuses on cardiovascular health research. | Institute of Infectious Diseases: Related research is conducted under IAMRAT. | Institute of African Studies: Conducts research on African cultures, history, and social issues. | Centre for General Studies (CGS): Provides foundational education and research support across disciplines. | Yoruba Language Centre: Focuses on Yoruba language and cultural research. | Nigerian Institute of Social and Economic Research (NISER): Conducts social and economic policy research, headquartered at the University of Ibadan."
What are the general tuition fees at the University of Ibadan?,General Tuition Fees; University of Ibadan Tuition Fees; UI Tuition Costs; General Fees UI; Tuition Fee Details; Tuition Cost University of Ibadan; General Fee Structure UI; tuition fee,General Fees are: | Acceptance Fee: 50000 | Application Form prices: | Academic Programs: 20000 | Professional Programs: 25000 | Re-Issuance of Lost Certificate: 25000 | Verification of Results/Certificates/Transcripts | Institutions/Organizations: 5000 | Individuals: 1000 | Proficiency in English Language Letter: 1000 | Letter of Attestation: 1000
Undergraduate Tuition Fees at the University of Ibadan?,tuition fee; Undergraduate Tuition Fees; University of Ibadan Tuition Fees; UI Undergraduate Fees; Undergraduate Fee Structure UI; UI Tuition Costs; Tuition Details for UI Undergraduate; Undergraduate Costs at University of Ibadan,"Faculty of Agriculture: Agricultural Extension and Rural Development: 100L/DE (Freshers): 36800, 200L: 25250, 300L: 22150, 400L: 31150, 500L: 25650 | Forest Resources Management: 100L/DE (Freshers): 68500, Returning Students (300L/400L): 78000 | Faculty of Arts: General: 100L/DE (Freshers): 79000, Returning Students (200L, 300L): 68500 | Archaeology and Anthropology: 100L: 230000, Returning Students: 412000 | Linguistics and African Languages: Acceptance Fee: 21000, School Fees: 79000 | Faculty of Law: 100L/DE (Freshers): 79000, Returning Students (200L): 68500, Acceptance Fee: 21000 | College of Medicine Biochemistry and Physiology: 100L (Freshers): 300000, Returning Students: 260000, Acceptance Fee: 50000 | Faculty of Science: Anthropology 100L/DE (Freshers): 163200, Returning Students (200L): 101200 | Archaeology: 100L/DE (Freshers): 79000, Returning Students (200L): 68500 | Botany: 100L/DE (Freshers): 79000, Returning Students (200L): 68500, Acceptance Fee: 21000 | Chemistry: 100L/DE (Freshers): 325000 | Computer Science: 100L/DE (Freshers): School Fees: 79000, Acceptance Fee: 21000, Total: 100000 | Returning Students: School Fees: 68500 | Geography: 100L/DE (Freshers): School Fees: 79000, Acceptance Fee: 21000, Total: 100000, Returning Students (200L): School Fees: 68500 | Geology: 100L/DE (Freshers): School Fees: 79000, Acceptance Fee: 21000, Total: 89000 | Mathematics: 100L/DE (Freshers): School Fees: 79000, Acceptance Fee: 21000, Total: 100000 Returning Students (200L): School Fees: 68500 | Microbiology: 100L/DE (Freshers): School Fees: 525000, Acceptance Fee: 50000 | Physics: 100L/DE (Freshers): School Fees: 79000, Acceptance Fee: 21000 Returning Students (200L): School Fees: 68500 | Statistics: 100L/DE (Freshers): School Fees: 68500 | Zoology: 100L/DE (Freshers): 163200, Returning Students (200L and above): 101200 | Other Faculties: College of Health Sciences and Faculty of Pharmacy: Freshers: 190200, Returning Students: 128200 | Faculties of Arts, Law, and Humanities: Freshers: 151200, Returning Students: 89200"
Postgraduate Programs tuition fee at the University of Ibadan,tuition fee; Postgraduate Programs tuition fee; Postgraduate tuition fee; University of Ibadan postgraduate fees; UI postgraduate fee structure; Graduate tuition fee UI; Postgraduate fee details UI; Tuition cost for postgraduate programs UI,"Acceptance Fee: 50000 | Tuition Fees: Freshers: Min: 75000, Max: 120000 | Returning Students: Min: 50000, Max: 100000 | Registration Fees: Min: 5000, Max: 10000"
Acceptance Fee at the University of Ibadan,acceptance fee,50000
Application Form fee at the University of Ibadan,application form; Application Form fee; Application Form cost; University of Ibadan Application fee; UI Application fee; Application fee details; Form fee University of Ibadan; UI form fee,"{'Academic Programs': 20000, 'Professional Programs': 25000}"
Re-Issuance of Lost Certificate fee at the University of Ibadan,Re-Issuance of Lost Certificate fee; Lost Certificate Reissuance cost; Certificate Replacement fee UI; University of Ibadan Re-Issuance fee; UI lost certificate fee; Reissue certificate fee University of Ibadan; Certificate lost reissuance fee UI; lost of certificate fee,25000
Verification of Results/Certificates/Transcripts at the University of Ibadan,Verification of Results/Certificates/Transcripts; Verification fees; University of Ibadan verification fee; Results verification fee; Transcript verification cost; Certificate verification fee; verification fees,"{'Institutions/Organizations': 5000, 'Individuals': 1000}"
Proficiency in English Language Letter at the University of Ibadan,Proficiency in English Language Letter; English Proficiency Letter fee; UI English Language Letter fee; University of Ibadan English Proficiency; English Language Letter cost; Proficiency in English fee; proficiency letter fee,1000
Letter of Attestation at the University of Ibadan,Letter of Attestation; Attestation letter UI; University of Ibadan attestation; UI Letter of Attestation; Attestation fee University of Ibadan; UI attestation letter cost; Letter of Attestation details,1000
Faculty of Agriculture Undergraduate Tuition Fees at the University of Ibadan,Undergraduate Tuition Fees; falculty of agriculture; Faculty of Agriculture Tuition; University of Ibadan Agriculture Fees; UI Undergraduate Agriculture Tuition; Agriculture Faculty Fees; Agriculture tuition costs; Undergraduate fees Faculty of Agriculture,"{'Agricultural Extension and Rural Development': {'100L/DE (Freshers)': 36800, '200L': 25250, '300L': 22150, '400L': 31150, '500L': 25650}, 'Forest Resources Management': {'100L/DE (Freshers)': 68500, 'Returning Students (300L/400L)': 78000}}"
Faculty of Arts Undergraduate Tuition Fees at the University of Ibadan,Faculty of Arts Undergraduate Tuition Fees; faculty of artUniversity of Ibadan Arts Tuition Fees; UI Arts Tuition; Faculty of Arts Fees UI; Undergraduate Arts Tuition UI; UI Faculty of Arts cost; Arts Tuition Fee Structure University of Ibadan,"{'General': {'100L/DE (Freshers)': 79000, 'Returning Students (200L, 300L)': 68500}, 'Archaeology and Anthropology': {'100L': 230000, 'Returning Students': 412000}, 'Linguistics and African Languages': {'Acceptance Fee': 21000, 'School Fees': 79000}}"
Faculty of Law Undergraduate Tuition Fees at the University of Ibadan,University of Ibadan Law Tuition Fees; UI Law Undergraduate Fees; faculty of lawFaculty of Law Tuition; Law School Fee Structure; UI Law Costs; Undergraduate Law Fees University of Ibadan,"{'100L/DE (Freshers)': 79000, 'Returning Students (200L)': 68500, 'Acceptance Fee': 21000}"
College of Medicine Undergraduate Tuition Fees at the University of Ibadan,College of Medicine; University of Ibadan Medicine Tuition Fees; College of Medicine Fees; UI Undergraduate Medicine Tuition; Medical School Fee Structure UI; College of Medicine Tuition UI; Undergraduate Medical Fees University of Ibadan,"{'Biochemistry and Physiology': {'100L (Freshers)': 300000, 'Returning Students': 260000, 'Acceptance Fee': 50000}}"
Faculty of Science Undergraduate Tuition Fees at the University of Ibadan,Faculty of Science Undergraduate Tuition Fees; University of Ibadan Science Tuition Fees; Faculty of Science Fees; Undergraduate Science Tuition; Science Department Fee Structure UI; Science Undergraduate Cost; Faculty of Science Fees University of Ibadan,"{'Anthropology': {'100L/DE (Freshers)': 163200, 'Returning Students (200L)': 101200}, 'Archaeology': {'100L/DE (Freshers)': 79000, 'Returning Students (200L)': 68500}, 'Botany': {'100L/DE (Freshers)': 79000, 'Returning Students (200L)': 68500, 'Acceptance Fee': 21000}, 'Chemistry': {'100L/DE (Freshers)': 325000}, 'Computer Science': {'100L/DE (Freshers)': {'School Fees': 79000, 'Acceptance Fee': 21000, 'Total': 100000}, 'Returning Students': {'School Fees': 68500}}, 'Geography': {'100L/DE (Freshers)': {'School Fees': 79000, 'Acceptance Fee': 21000, 'Total': 100000}, 'Returning Students (200L)': {'School Fees': 68500}}, 'Geology': {'100L/DE (Freshers)': {'School Fees': 79000, 'Acceptance Fee': 21000, 'Total': 89000}}, 'Mathematics': {'100L/DE (Freshers)': {'School Fees': 79000, 'Acceptance Fee': 21000, 'Total': 100000}, 'Returning Students (200L)': {'School Fees': 68500}}, 'Microbiology': {'100L/DE (Freshers)': {'School Fees': 525000, 'Acceptance Fee': 50000}}, 'Physics': {'100L/DE (Freshers)': {'School Fees': 79000, 'Acceptance Fee': 21000}, 'Returning Students (200L)': {'School Fees': 68500}}, 'Statistics': {'100L/DE (Freshers)': {'School Fees': 68500}}, 'Zoology': {'100L/DE (Freshers)': 163200, 'Returning Students (200L and above)': 101200}}"
Other Faculties Undergraduate Tuition Fees at the University of Ibadan,"College of Health Sciences and Faculty of Pharmacy fees; Other Faculties Fee Structure; Undergraduate Fees for Other Faculties UI; UI Tuition for Other Faculties; Other Faculties Cost University of Ibadanfaculties of arts, law, and humanities","{'College of Health Sciences and Faculty of Pharmacy': {'Freshers': 190200, 'Returning Students': 128200}, 'Faculties of Arts, Law, and Humanities': {'Freshers': 151200, 'Returning Students': 89200}}"
Acceptance Fee Postgraduate Programs at the University of Ibadan,Postgraduate Programs Acceptance Fee; UI Postgraduate Acceptance Fee; University of Ibadan Postgraduate Fee; Acceptance Fee; Postgraduate Admission Acceptance Fee; Acceptance Fee University of Ibadan; Postgraduate Admission Fee,50000
Tuition Fees for Postgraduate Programs at the University of Ibadan,Tuition Fees for Postgraduate Programs; Postgraduate Tuition Fees; University of Ibadan Postgraduate Tuition; UI Graduate Fees; Postgraduate Fee Structure UI; Graduate Tuition Costs UI; UI Postgraduate Program Fees; University of Ibadan Graduate Tuition,"{'Freshers': {'Min': 75000, 'Max': 120000}, 'Returning Students': {'Min': 50000, 'Max': 100000}}"
Registration Fees for postgraduate Programs at the University of Ibadan,Registration Fees for Postgraduate Programs; Postgraduate Registration Fees; University of Ibadan Registration Fees; UI Postgraduate Registration Fee; Graduate Registration Cost UI; Registration Fee University of Ibadan; UI Graduate Program Registration,"{'Min': 5000, 'Max': 10000}"
Undergraduate Tuition Fees at the University of Ibadan,Undergraduate Tuition Fees; University of Ibadan Tuition Fees; UI Undergraduate Fees; Undergraduate Fee Structure UI; UI Tuition Costs; Undergraduate Costs at UI; University Undergraduate Fees,"{'Freshers': {'Min': 34300, 'Max': 36800}, 'Returning Students': {'Min': 20000, 'Max': 32000}}"
Postgraduate Tuition Fees at the University of Ibadan,Postgraduate Tuition Fees; University of Ibadan Postgraduate Tuition; Graduate Tuition Fees; Postgraduate Fees; Graduate Program Tuition UI; Postgraduate Fee Structure UI; Tuition Costs for UI Postgraduates; University of Ibadan Graduate Fees,"{'Min': 75000, 'Max': 250000}"
Health Fee at the University of Ibadan,Health Fee at the University of Ibadan; University of Ibadan Health Fee; Health Fee; Health Charges; Student Health Fee; UI Health Cost; Health Fee Details,2500
ICT Fee at the University of Ibadan,ICT Fee at the University of Ibadan; University of Ibadan ICT Fee; ICT Fee; Information and Communication Technology Fee; ICT Charges; ICT Cost UI; ICT Fee Structure at UI,3000
Library Fee at the University of Ibadan,Library Fee at the University of Ibadan; University of Ibadan Library Fee; Library Fee; Library Charges UI; Library Cost University of Ibadan; Library Fee Structure; Fee for Library Services UI,5000
Sport Fee at the University of Ibadan,Sport Fee at the University of Ibadan; University of Ibadan Sport Fee; Sport Fee; Sports Fee; Sport Charges University of Ibadan; Sports Cost; Sport Fee Structure,2000
Faculty and Departmental Fees at the University of Ibadan,Faculty and Departmental Fees; University of Ibadan Faculty Fees; Departmental Fees; Faculty Fee Structure; Department Charges University of Ibadan; UI Faculty and Departmental Costs; University of Ibadan Department Fees,"{'Min': 5000, 'Max': 20000}"
Payment Guidelines Method at the University of Ibadan,Payment Guidelines Method at the University of Ibadan; Payment Guidelines; University of Ibadan Payment Method; Payment Procedures; Payment Process; University Payment Guidelines; Payment Methods,Fees must be paid through the UI student portal.
Payment Guidelines Deadlines at the University of Ibadan,Payment Guidelines Deadlines at the University of Ibadan; University of Ibadan Payment Deadlines; Payment Deadlines; Payment Deadline Policy; Fee Payment Deadlines; UI Payment Schedule; Deadline for Payment,"Payment deadlines are strictly enforced, with penalties for late payments."
Scholarship Opportunities Types at the University of Ibadan,Scholarship Opportunities; University of Ibadan Scholarships; Scholarship Types; Scholarship Categories; UI Scholarship Opportunities; Types of Scholarships at UI; Scholarship Options University of Ibadan,Merit-based scholarships | Need-based scholarships
Faculty of Agriculture and Forestry Materials at the University of Ibadan,Faculty of Agriculture and Forestry Materials; University of Ibadan Agriculture Materials; Agriculture and Forestry Resources; Agriculture and Forestry Materials; Educational Materials Faculty of Agriculture and Forestry; Agriculture Materials; Materials for Agriculture and Forestry,Textbooks | Lab manuals | Fieldwork materials
Faculty of Arts Estimated Cost at the University of Ibadan,Estimated CostFaculty of Arts Estimated Cost; University of Ibadan Arts Cost; Faculty of Arts Expense; Estimated Cost Faculty of Arts; Arts Estimated Cost; Cost of Faculty of Arts; University Arts Cost,"{'Min': 10000, 'Max': 30000}"
